time,probe,pressure
2.26873,sn3,40.891
2.47266,sn3,37.4373
2.67863,sn3,33.9076
2.88665,sn3,30.5064
3.09676,sn3,27.3295
3.30897,sn3,24.6666
3.5233,sn3,22.2734
3.73977,sn3,20.014
3.95841,sn3,18.3297
3.95841,sn3,18.3297
3.99089,sn3,18.0752
4.01072,sn3,17.9174
4.03352,sn3,17.7361
4.05974,sn3,17.5287
4.08989,sn3,17.293
4.12457,sn3,17.0402
4.16445,sn3,16.9639
4.21032,sn3,16.7563
4.26306,sn3,16.527
4.32107,sn3,16.5339
4.38489,sn3,16.395
4.45509,sn3,16.2163
4.53231,sn3,16.0214
4.61725,sn3,15.8137
4.71069,sn3,15.5939
4.81347,sn3,15.3629
4.92652,sn3,15.1216
5.05089,sn3,14.8716
5.18768,sn3,14.615
5.33816,sn3,14.3532
5.50369,sn3,14.0889
5.68577,sn3,13.8252
5.88606,sn3,13.5655
6.08835,sn3,13.3313
6.29266,sn3,13.121
6.49902,sn3,12.933
6.70743,sn3,12.7661
6.91794,sn3,12.6184
7.13055,sn3,12.4883
7.34528,sn3,12.3741
7.56216,sn3,12.2744
7.78122,sn3,12.1879
8.00246,sn3,12.1133
8.22591,sn3,12.0498
8.4516,sn3,11.996
8.67955,sn3,11.9508
8.90977,sn3,11.9136
9.1423,sn3,11.8828
9.37715,sn3,11.8576
9.61435,sn3,11.8374
9.85392,sn3,11.8215
10.0959,sn3,11.8095
10.3403,sn3,11.8004
10.5871,sn3,11.794
10.8364,sn3,11.7898
11.0882,sn3,11.7879
11.3425,sn3,11.7872
11.5994,sn3,11.7878
11.8588,sn3,11.7895
12.1208,sn3,11.7917
12.3855,sn3,11.7943
12.6527,sn3,11.7969
12.9227,sn3,11.7993
13.1954,sn3,11.8014
13.4707,sn3,11.803
13.7489,sn3,11.804
14.0298,sn3,11.8043
14.3135,sn3,11.8038
14.6001,sn3,11.8024
14.7522,sn3,11.7999
14.7522,sn3,11.7999
0.256751,sn4,6.00966
0.291208,sn4,48.5569
0.325717,sn4,44.829
0.358212,sn4,42.0307
0.401186,sn4,39.1663
0.427621,sn4,38.0079
0.49298,sn4,36.9759
0.533183,sn4,37.3103
0.579417,sn4,38.1234
0.632586,sn4,39.5406
0.691072,sn4,41.599
0.755406,sn4,44.2533
0.826174,sn4,47.5923
0.904019,sn4,50.5771
0.989649,sn4,52.6906
1.08384,sn4,53.7234
1.18745,sn4,53.5804
1.30142,sn4,52.4231
1.42679,sn4,50.4965
1.5647,sn4,47.9769
1.7164,sn4,44.9606
1.88327,sn4,41.4944
2.06682,sn4,37.7428
2.26873,sn4,33.7905
2.47266,sn4,30.2769
2.67863,sn4,26.9737
2.88665,sn4,23.9198
3.09676,sn4,21.1283
3.30897,sn4,18.5924
3.5233,sn4,16.4267
3.73977,sn4,14.5296
3.95841,sn4,12.8841
3.95841,sn4,12.8841
3.99089,sn4,12.6604
4.01072,sn4,12.5226
4.03352,sn4,12.3695
4.05974,sn4,12.1982
4.08989,sn4,12.0115
4.12457,sn4,11.8009
4.16445,sn4,11.5655
4.21032,sn4,11.3066
4.26306,sn4,11.0231
4.32107,sn4,10.7297
4.38489,sn4,10.4298
4.45509,sn4,10.1261
4.53231,sn4,9.82098
4.61725,sn4,9.51335
4.71069,sn4,9.20351
4.81347,sn4,8.89147
4.92652,sn4,8.57743
5.05089,sn4,8.2619
5.18768,sn4,7.94584
5.33816,sn4,7.6315
5.50369,sn4,7.31944
5.68577,sn4,7.01117
5.88606,sn4,6.70929
6.08835,sn4,6.43764
6.29266,sn4,6.19331
6.49902,sn4,5.97406
